questionName,correctAnswer,incorrectAnswerA,incorrectAnswerB,incorrectAnswerC,difficulty,topicCode,feedback
"What is a deadlock in OS terms?","When processes block each other indefinitely","A type of memory leak","A corrupted file system","A slow internet connection",Hard,1.5,"Deadlocks occur when processes hold resources needed by others."
"How does an OS handle caching?","Stores frequently used data for faster access","Deletes old files","Compresses memory","Encrypts network traffic",Hard,1.5,"Caches (e.g., CPU cache, disk cache) reduce latency for common operations."
"What is a sandbox in OS security?","An isolated environment for testing untrusted software","A type of file system","A user interface theme","A memory compression tool",Hard,1.5,"Sandboxes prevent malware from affecting the main system."
"Why use package managers?","To automate software installation/updates","To defragment disks","To encrypt emails","To design websites",Hard,1.5,"Package managers (e.g., apt, Homebrew) resolve dependencies and install apps."
"What is a zombie process?","A completed process waiting to be cleaned up","A type of virus","A corrupted file","A slow network connection",Hard,1.5,"Zombies consume minimal resources but indicate programming errors."
"How does an OS handle time-sharing?","Allocates CPU time slices to multiple users","Compresses files automatically","Encrypts all data","Defragments disks",Hard,1.5,"Time-sharing lets many users share a system simultaneously."
"What is a symlink?","A file pointing to another file's location","A type of memory","A user account permission","A network protocol",Hard,1.5,"Symbolic links (symlinks) act as shortcuts to files/directories."
"Why use disk imaging utilities?","To create exact copies of storage devices","To encrypt individual files","To speed up internet","To manage user interfaces",Hard,1.5,"Disk images (e.g., ISO files) are useful for backups and OS installations."
"What is thrashing in OS terms?","Excessive paging slowing down the system","A type of malware","A corrupted file system","A network bottleneck",Hard,1.5,"Thrashing occurs when the OS spends more time paging than running apps."
"How does an OS handle buffering?","Stores data temporarily during transfers","Compresses files permanently","Encrypts network connections","Defragments disks",Hard,1.5,"Buffers smooth out speed mismatches (e.g., video streaming)."
"What is a live CD/USB?","An OS running from removable media without installation","A type of file system","A memory management tool","A user account manager",Hard,1.5,"Live environments are useful for system recovery or testing."
"Why use system profiling utilities?","To analyze hardware/software performance","To create spreadsheets","To design websites","To edit photos",Hard,1.5,"Profilers identify bottlenecks (e.g., CPU, disk I/O) for optimization."
"What is a race condition?","Unpredictable behavior from unsynchronized processes","A type of virus","A corrupted file","A slow internet connection",Hard,1.5,"Race conditions occur when outputs depend on timing of uncontrollable events."
"How does an OS handle memory leaks?","Requires programmers to fix faulty code","Automatically defragments RAM","Compresses memory","Encrypts processes",Hard,1.5,"Memory leaks (unreleased allocated memory) gradually consume resources."
"What is a trap in OS terms?","A software-generated interrupt","A type of malware","A file system error","A network timeout",Hard,1.5,"Traps handle exceptions like division errors or invalid memory access."
"Why use remote desktop utilities?","To control another computer over a network","To encrypt local files","To speed up the CPU","To manage user accounts",Hard,1.5,"Remote desktop tools (e.g., RDP, VNC) enable technical support or telework."
"What is a context switch?","Saving/restoring process states when switching tasks","A type of file system","A memory compression technique","A user interface element",Hard,1.5,"Context switches have overhead but enable multitasking."
"How does an OS handle starvation?","Prioritizes long-waiting processes","Defragments disks","Compresses files","Encrypts data",Hard,1.5,"Starvation occurs when some processes never get CPU time (solved by fair scheduling)."
"What is a named pipe?","A communication channel between processes","A type of malware","A corrupted file","A network protocol",Hard,1.5,"Named pipes (FIFOs) allow unrelated processes to exchange data."
"Why use system logging utilities?","To record events for troubleshooting","To encrypt emails","To speed up internet","To create spreadsheets",Hard,1.5,"Logs (e.g., /var/log in Linux) help diagnose crashes or security breaches."
"What is a reentrant function?","Safe to call simultaneously from multiple threads","A type of virus","A file system error","A memory leak",Hard,1.5,"Reentrant code avoids shared state, preventing race conditions."
"How does an OS handle fragmentation?","Defragmentation reorganizes file storage","Compresses all files","Encrypts disks","Deletes old files",Hard,1.5,"Fragmentation slows access; defragging consolidates file chunks contiguously."
"What is a hotfix?","An urgent patch for critical vulnerabilities","A type of malware","A user interface theme","A memory management tool",Hard,1.5,"Hotfixes address severe security flaws without waiting for regular updates."
"Why use disk partitioning utilities?","To divide storage into logical sections","To encrypt files","To speed up internet","To manage user accounts",Hard,1.5,"Partitions isolate OS files from user data or enable dual-booting."
"What is a spinlock?","A process repeatedly checks for resource availability","A type of virus","A corrupted file","A network bottleneck",Hard,1.5,"Spinlocks waste CPU cycles but avoid context switch overhead."
"How does an OS handle caching?","Stores frequently accessed data for quick retrieval","Deletes temporary files","Compresses memory","Encrypts network traffic",Hard,1.5,"Caches (CPU, disk, web) reduce latency by keeping copies of data."
"What is a core dump?","A file recording a program's state at crash time","A type of malware","A user interface element","A memory compression tool",Hard,1.5,"Core dumps help debug crashes by preserving memory contents."
"Why use system benchmark utilities?","To measure hardware/software performance","To encrypt emails","To speed up internet","To create spreadsheets",Hard,1.5,"Benchmarks (e.g., Geekbench) compare systems objectively using standardized tests."
"What is a system tray?","An area for background app icons and notifications","A type of file system","A memory management technique","A network protocol",Hard,1.5,"The system tray (Windows) or menu bar (macOS) shows running services."
"How does an OS handle interrupts?","Pauses current tasks to service hardware events","Defragments disks","Compresses files","Encrypts data",Hard,1.5,"Interrupts allow timely responses to keyboards, mice, or network packets."
"What is a handle in OS terms?","A reference to a resource like a file or window","A type of malware","A corrupted file","A slow network connection",Hard,1.5,"Handles abstract low-level details (e.g., memory addresses) for security/stability."
"Why use disk encryption utilities?","To protect data if devices are stolen","To defragment files","To speed up internet","To manage user interfaces",Hard,1.5,"Full-disk encryption (e.g., BitLocker) scrambles data without password access."
"What is a system daemon?","A background process handling OS services","A type of virus","A file system error","A network bottleneck",Hard,1.5,"Daemons (e.g., cron for scheduling) run continuously without user interaction."
"How does an OS handle virtual memory?","Uses disk space to extend RAM capacity","Defragments disks","Compresses files","Encrypts data",Hard,1.5,"Page files/swap partitions allow running more apps than physical RAM supports."
"What is a blue screen of death (BSOD)?","A Windows system crash screen","A type of malware","A user interface theme","A memory compression tool",Hard,1.5,"BSODs indicate critical errors forcing OS shutdown to prevent damage."
"Why use system update utilities?","To patch security flaws and add features","To encrypt emails","To speed up internet","To create spreadsheets",Hard,1.5,"Updates fix vulnerabilities and bugs; automatic updates are recommended."
"What is a system logger?","Records events for troubleshooting and auditing","A type of malware","A file compression tool","A memory management technique",Hard,1.5,"Logs (e.g., Event Viewer in Windows) track logins, errors, and security events."
"How does an OS handle device drivers?","Uses them to communicate with hardware","Defragments disks","Compresses files","Encrypts data",Hard,1.5,"Drivers translate OS commands into device-specific operations."
"What is a kernel panic?","An unrecoverable OS error forcing shutdown","A type of virus","A corrupted file","A slow network connection",Hard,1.5,"Kernel panics (Linux/macOS) are like BSODs but often more informative."
"Why use task schedulers?","To automate script/program execution at set times","To encrypt files","To speed up internet","To manage user accounts",Hard,1.5,"Task schedulers (e.g., cron, Task Scheduler) run maintenance jobs overnight."
"What is a system resource?","Hardware/software components like CPU, memory, files","A type of malware","A user interface element","A network protocol",Hard,1.5,"The OS allocates resources (e.g., CPU time, disk space) to competing processes."
"How does an OS handle file systems?","Organizes and controls access to stored data","Defragments disks","Compresses files","Encrypts data",Hard,1.5,"File systems (NTFS, ext4) manage naming, permissions, and physical storage."
"What is a green screen of death?","A system crash screen in some OS variants","A type of malware","A user interface theme","A memory compression tool",Hard,1.5,"Green screens (e.g., Windows Insider builds) serve the same purpose as BSODs."
"Why use system configuration utilities?","To adjust OS settings and startup programs","To encrypt emails","To speed up internet","To create spreadsheets",Hard,1.5,"Tools like msconfig (Windows) or System Preferences (macOS) customize behavior."
"What is a system call table?","A list of kernel functions processes can request","A type of virus","A corrupted file","A network bottleneck",Hard,1.5,"The call table ensures safe, standardized access to OS services."
"How does an OS handle multitasking?","Shares CPU time between processes rapidly","Defragments disks","Compresses files","Encrypts data",Hard,1.5,"Time-slicing creates the illusion of simultaneous execution."
"What is a golden image?","A master OS template for deployment to multiple machines","A type of malware","A user interface theme","A memory management tool",Hard,1.5,"Golden images standardize installations across an organization."
"Why use system restore points?","To revert to a stable OS state if updates fail","To encrypt files","To speed up internet","To manage user accounts",Hard,1.5,"Restore points snapshot system files/registry before major changes."
