questionName,correctAnswer,incorrectAnswerA,incorrectAnswerB,incorrectAnswerC,difficulty,topicCode,feedback
What is the output of a NOT gate followed by an AND gate? The inputs to the system are A and B. The NOT gate is on input A.,(NOT A) AND B,A AND B,A OR B,NOT (A AND B),Hard,2.4,The NOT gate inverts input A creating (NOT A). This signal and input B are then fed into the AND gate. So the final output is (NOT A) AND B.
What is the output of this circuit: NOT (A OR B) if A=1 and B=0?,0,1,2,Unknown,Hard,2.4,First solve the OR: 1 OR 0 = 1. Then apply the NOT: NOT 1 = 0. So the final output is 0.
Create a truth table for the circuit: NOT (A AND B). What is the output when A=0 B=1?,1,0,2,Unknown,Hard,2.4,First solve the AND for (0 1): 0 AND 1 = 0. Then apply the NOT: NOT 0 = 1. So the output is 1.
Create a truth table for the circuit: (NOT A) OR (NOT B). What is the output when A=1 B=1?,0,1,2,Unknown,Hard,2.4,First solve each NOT: NOT A = NOT 1 = 0; NOT B = NOT 1 = 0. Then solve the OR: 0 OR 0 = 0. So the output is 0.
Which logical expression represents the output of a NAND gate?,NOT (A AND B),A AND B,NOT (A OR B),A OR B,Hard,2.4,A NAND gate is equivalent to an AND gate followed by a NOT gate. Therefore its function is NOT (A AND B).
A system requires output=1 only when input A and input B are different. What gate is needed?,XOR,AND,OR,NOT,Hard,2.4,The XOR (exclusive OR) gate outputs 1 when its inputs are different. It outputs 0 when they are the same. This is not a core J277 gate but can be built from AND OR NOT.
How can you build an XOR gate using basic gates?,(A OR B) AND NOT (A AND B),A AND B,A OR B,NOT A,Hard,2.4,An XOR gate outputs 1 if A OR B is true BUT NOT both. This can be represented by (A OR B) AND NOT (A AND B). This uses the three core gates.
What is the final output of this diagram: A -> NOT -> X; B -> NOT -> Y; X AND Y -> Z. What is Z?,NOT A AND NOT B,A AND B,A OR B,NOT (A AND B),Hard,2.4,X is NOT A. Y is NOT B. Z is X AND Y which is (NOT A) AND (NOT B). This is also known as a NOR gate (NOT OR).
A fire alarm sounds if the smoke detector is activated OR the heat sensor is activated OR the manual pull is activated. What logic is this?,OR,AND,NOT,NAND,Hard,2.4,The alarm sounds if any one (or more) of the conditions is true. This is a classic use of an OR gate with multiple inputs.
A computer boots if the power button is pressed AND the power supply is working. What logic is this?,AND,OR,NOT,XOR,Hard,2.4,The boot process requires both conditions to be true simultaneously. This is a classic use of an AND gate.
What is the output of this expression: NOT ( (NOT A) OR B ) if A=1 B=0?,0,1,2,Unknown,Hard,2.4,First solve inner NOT: NOT A = NOT 1 = 0. Then solve the OR: 0 OR 0 = 0. Then solve the outer NOT: NOT 0 = 1. So the final output is 1.
What is the output of this expression: (A OR B) AND (NOT A) if A=1 B=1?,0,1,2,Unknown,Hard,2.4,First solve the OR: 1 OR 1 = 1. Then solve NOT A: NOT 1 = 0. Then solve the AND: 1 AND 0 = 0. So the final output is 0.
What is the output of this expression: (A AND B) OR (NOT A) if A=0 B=1?,1,0,2,Unknown,Hard,2.4,First solve the AND: 0 AND 1 = 0. Then solve NOT A: NOT 0 = 1. Then solve the OR: 0 OR 1 = 1. So the final output is 1.
What is the output of this expression: NOT (A AND B) OR C if A=0 B=0 C=0?,1,0,2,Unknown,Hard,2.4,First solve the AND: 0 AND 0 = 0. Then solve NOT 0 = 1. Then solve the OR: 1 OR 0 = 1. So the final output is 1.
What is the output of this expression: A AND (B OR C) if A=0 B=1 C=1?,0,1,2,Unknown,Hard,2.4,First solve the OR: 1 OR 1 = 1. Then solve the AND: 0 AND 1 = 0. So the final output is 0. The AND gate dominates; if A is 0 the output is always 0.
What is the output of this expression: (NOT A) AND (B OR C) if A=1 B=0 C=1?,0,1,2,Unknown,Hard,2.4,First solve NOT A: NOT 1 = 0. Then solve the OR: 0 OR 1 = 1. Then solve the AND: 0 AND 1 = 0. So the final output is 0.
What is the output of this expression: NOT (A OR B) AND C if A=0 B=0 C=1?,1,0,2,Unknown,Hard,2.4,First solve the OR: 0 OR 0 = 0. Then solve NOT 0 = 1. Then solve the AND: 1 AND 1 = 1. So the final output is 1.
What is the output of this expression: A OR (B AND C) if A=0 B=1 C=0?,0,1,2,Unknown,Hard,2.4,First solve the AND: 1 AND 0 = 0. Then solve the OR: 0 OR 0 = 0. So the final output is 0.
What is the output of this expression: (A AND B) OR (A AND C) if A=1 B=0 C=1?,1,0,2,Unknown,Hard,2.4,First solve left AND: 1 AND 0 = 0. Then solve right AND: 1 AND 1 = 1. Then solve the OR: 0 OR 1 = 1. So the final output is 1.
What is the output of this expression: NOT (A AND B AND C) if A=1 B=1 C=1?,0,1,2,Unknown,Hard,2.4,First solve the AND for three inputs: 1 AND 1 AND 1 = 1. Then apply the NOT: NOT 1 = 0. So the final output is 0.
