questionName,correctAnswer,incorrectAnswerA,incorrectAnswerB,incorrectAnswerC,difficulty,topicCode,feedback
What is the purpose of a translator for a low-level assembly language?,It is an assembler that converts mnemonics into machine code.,It is an interpreter that runs the assembly code.,It is a compiler that makes the code portable.,It is a debugger that finds errors.,Medium,2.5,An assembler is a specific type of translator that converts assembly language (mnemonics like ADD STORE) into machine code.
How does an IDE's run-time environment help a programmer?,It allows them to test and run their code without leaving the IDE.,It automatically saves their code every second.,It connects them to other programmers online.,It designs the user interface for them.,Medium,2.5,The run-time environment is crucial for iterative testing allowing quick code execution and feedback within the development tool itself.
What is a benefit of using a compiler for distributing software?,The source code is hidden and protected.,The program will have no errors.,The program will run on any machine without a translator.,The program is easier to debug for the end user.,Medium,2.5,Compiling code into an executable means users can run the program without seeing or needing the original source code which protects the programmers intellectual property.
When would using an interpreter be more suitable than a compiler?,During program development for easier debugging.,When distributing the final version of software.,When the program must run as fast as possible.,When the source code needs to be hidden.,Medium,2.5,Interpreters are ideal for development because they provide immediate feedback on errors. Compilers are better for final distribution due to speed and code protection.
What is a characteristic of both compilers and interpreters?,They both translate high-level code.,They both produce an executable file.,They both execute code line-by-line.,They both are types of low-level languages.,Medium,2.5,Both compilers and interpreters are types of translators that convert high-level code into machine code. They differ in how and when they do this.
What does an IDE's error diagnostic tool typically provide?,A list of line numbers and descriptions of syntax errors.,An automatic fix for all errors.,A new version of the programming language.,A report on the programs speed.,Medium,2.5,Error diagnostics identify mistakes often highlighting the line number and giving a description of the problem such as a missing bracket or undeclared variable.
What is the main reason an IDE is used instead of a simple text editor?,It provides integrated tools that simplify the entire development process.,It is always free to use.,It makes the code run faster.,It automatically writes bug-free code.,Medium,2.5,An IDE provides a centralized workspace with an editor debugger translator and other tools which significantly improves a programmers efficiency compared to separate tools.
What is the final stage of using a compiler before a program can be run?,Linking object code with libraries to create an executable.,Writing the source code.,Debugging the logic errors.,Interpreting the code.,Medium,2.5,Compilation often involves multiple stages. After translating source code into object code a linker combines it with necessary library files to create a final executable program.
What is the purpose of version control tools in an IDE?,To manage different versions of the source code and track changes.,To control the version of the operating system.,To translate between different versions of a language.,To check for viruses in the code.,Hard,2.5,Version control systems like Git integrated into IDEs allow teams to collaborate track history and revert to previous versions of the codebase easily.
A program is compiled for a specific CPU architecture. Why wont it run on a different CPU?,Because machine code is hardware-specific.,Because the source code is missing.,Because it needs an interpreter.,Because it was written in a high-level language.,Hard,2.5,Compiled machine code is specific to the instruction set of the CPU it was compiled for. A different CPU architecture will not understand these instructions.
What is the key difference between source code and machine code?,Source code is human-readable; machine code is computer-readable.,Machine code is written in Python; source code is in binary.,Source code is faster to execute than machine code.,Machine code is easier for humans to debug.,Hard,2.5,Source code is written by programmers in a high-level language. Machine code is the binary output of a translator which the CPU executes directly.
Why is a program often slower when run using an interpreter?,Because the translation happens at the same time as execution.,Because interpreters are badly designed.,Because it is compiled first.,Because it uses a different algorithm.,Hard,2.5,The overhead of translating the code line-by-line while the program is running adds extra processing time making interpreted programs generally slower than compiled ones.
What is a potential security advantage of using a compiled language?,The source code is not distributed to users.,Programs are immune to viruses.,It is impossible to reverse engineer.,It runs on any system without setup.,Hard,2.5,Since users only receive the executable machine code the original source code remains private making it harder for others to find vulnerabilities or copy the logic.
What is a disassembler?,A tool that converts machine code back into assembly language.,A type of interpreter.,A tool that fixes errors in code.,An IDE component for editing.,Hard,2.5,A disassembler reverses the assembly process attempting to convert machine code back into a more human-readable form like assembly language. It does not recover the original source code.
What is the purpose of a profiler in an IDE?,To analyse the programs performance and identify slow sections.,To check the spelling in comments.,To create a professional document.,To design the program's user interface.,Hard,2.5,A profiler is an advanced tool that measures the programs execution time memory usage and frequency of function calls helping programmers optimize performance.
What is the difference between a syntax error and a logic error in the context of translators?,A syntax error is caught by the translator; a logic error is not.,A logic error is caught by the translator; a syntax error is not.,Both are caught during translation.,Neither are caught during translation.,Hard,2.5,Translators (compilers interpreters) can detect and report syntax errors which break the language rules. Logic errors mistakes in the program's algorithm are only found during testing.
What is meant by the term abstraction in high-level languages?,Unnecessary details about the hardware are hidden from the programmer.,The code is made more complex.,The programmer must manage memory manually.,The code runs faster.,Hard,2.5,Abstraction is a key concept. High-level languages hide complex low-level details like memory addresses allowing programmers to focus on solving problems.
Why might an IDE include a simulator or emulator?,To test code for hardware that is not physically available.,To make the code more portable.,To translate code into a different language.,To improve the code's syntax.,Hard,2.5,Simulators and emulators are crucial for developing software for embedded systems or mobile devices allowing testing on a PC without the actual hardware.
What is linking in the compilation process?,Combining compiled object code with library files to create an executable.,Connecting to the internet to download code.,Debugging the source code.,Writing the initial program.,Hard,2.5,Linking is the final stage where the linker combines the programmers compiled object code with pre-compiled code from libraries to resolve all references and create a single executable file.
What is object code?,Machine code output by a compiler before linking.,Source code that has been edited.,Code that is ready to be interpreted.,Another name for high-level code.,Hard,2.5,Object code is the intermediate machine code produced by a compiler from source code. It is not yet executable until it is linked with other object files and libraries.
What is a key reason for using an interpreter in scripting languages?,For quick execution and easy editing without a compilation step.,To hide the source code from users.,To make the scripts run faster than compiled programs.,To create standalone applications.,Hard,2.5,Scripting languages like JavaScript or Python are often interpreted to allow for rapid development and execution without the delay of a compilation step.
How does a Just-In-Time JIT compiler work?,It compiles code during program execution for improved performance.,It compiles code only once at the start of development.,It is another name for a standard interpreter.,It compiles code for future use.,Hard,2.5,A JIT compiler is a feature of some modern interpreters like the Java Virtual Machine. It compiles frequently used parts of the code to machine code during runtime to speed up execution.
What is the role of libraries in the compilation process?,They provide pre-written code for common tasks that can be linked in.,They store books about programming.,They are where source code is written.,They are used to interpret code.,Hard,2.5,Libraries contain pre-compiled code for common functions (eg mathematical operations). The linker includes this code with the programmers object code to create the final program avoiding rewriting common code.
